cleansed_text,created_at,class,is_unuseful,processed_text
Help Alyssa understand how they’re doing:,2022-08-26 15:37:28.000000 UTC,chat,True,Help Alyssa understand how they’re doing:
"Hi there - Just an update that I’m closing out our conversation as I didn’t hear back but feel free to respond anytime, and we’ll be happy to assist. ��",2022-08-26 15:37:15.000000 UTC,chat,True,"Hi there - Just an update that I’m closing out our conversation as I didn’t hear back but feel free to respond anytime, and we’ll be happy to assist. ��"
"Case #: 04972861



Your request has been received by Field Services. You will be contacted soon by the assigned Case owner.



Please reply to this email, or reference your Case # 04972861 if you have any questions about the status of your request. (Please do not send a new email)



We are committed to your success.

Thank you,



The Field Services Team

FieldServices@concur.com",2014-06-06 13:28:15.000000 UTC,chat,True,"Your request has been received by Field Services. You will be contacted soon by the assigned Case owner.
Please reply to this email, or reference your Case # 04972861 if you have any questions about the status of your request. (Please do not send a new email)
Thank you,"
"Hi Wayne,



Unfortunately, that is not a field that can be populated on the Report Header, or any other form, so we had to create a Custom Field (Custom 5) on the Employee Form which needs to be populated by ITG’s system.

We then can use that field to copy down to the Report Header Custom Field 5 which will populate your Accounting Extract.



Thanks,

Lynn



| Time Zone: ET (GMT-5)

Toll Free: 877-808-9650 x 257352



Join us March 8 – 11, 2016 in Las Vegas for Fusion 2016!



**Advance Notice: I will be out of office Friday, November 20 returning on Monday, November 23rd .",2015-11-10 18:32:39.000000 UTC,chat,False,"Unfortunately, that is not a field that can be populated on the Report Header, or any other form, so we had to create a Custom Field (Custom 5) on the Employee Form which needs to be populated by ITG’s system.
We then can use that field to copy down to the Report Header Custom Field 5 which will populate your Accounting Extract.
Join us March 8 – 11, 2016 in Las Vegas for Fusion 2016!
**Advance Notice: I will be out of office Friday, November 20 returning on Monday, November 23rd ."
"Case #: 15443630



Your request has been received by Field Services. You will be contacted soon by the assigned Case owner.



Use the link below to update your case. (Please do not send a new email).

Case Link:

https://sapconcur.my.salesforce.com/5000e00001hkgFC



Thank you,

The Field Services Team



Did you know?...

You can now create Cases for Field Services support directly from the Account and Opportunity pages, using the 'Create Case' button at the top of those pages.",2020-03-11 18:12:22.000000 UTC,chat,True,"Your request has been received by Field Services. You will be contacted soon by the assigned Case owner.
Use the link below to update your case. (Please do not send a new email).
Thank you,
Did you know?...
You can now create Cases for Field Services support directly from the Account and Opportunity pages, using the 'Create Case' button at the top of those pages."
"Hi,



What is the URL for the app?



David











David Rubin
HRIS Consultant

2 Manhattanville Road, Suite 203

Purchase, NY 10577
P: 407.876.9162

| |",2020-11-20 13:49:03.000000 UTC,chat,False,What is the URL for the app?
"Hi David,

I am not sure what you mean about the URL for the APP? Can you give me more details about this?

Regards,


Julius


SAP

Concur Support",2020-11-20 13:53:58.000000 UTC,chat,False,I am not sure what you mean about the URL for the APP? Can you give me more details about this?
"David, it’s using the same URL for expense reporting  (with admin rights you will see below)







Paula Scifres-Smith
Accounts Payable Supervisor 
Teladoc Health, Inc.

1945 Lakepointe Dr, Suite #100

Lewisville, TX  75057-6424",2020-11-20 13:58:38.000000 UTC,chat,False,"David, it’s using the same URL for expense reporting  (with admin rights you will see below)
Accounts Payable Supervisor "
"Hi Elwel!



Thanks so much!  Is there a way to have all travel approvals done by the users’ managers?



After discussing some of the issues with my manager, we agree that I should not be approving travel for anyone and those approvals should be sent to the managers.



Feel free to call me to discuss if you need to!



Thanks!



Ashley Jackson 


Executive Assistant 



Cell: 






DISCLAIMER: The information in this message is ""emids Technologies"" confidential and may be legally privileged. It is intended solely for the addressee. Access to this message by anyone else is unauthorized. If you are not the intended recipient, any disclosure, copying, or distribution of the message, or any action or omission taken by you in reliance on it, is prohibited and may be unlawful. Please contact immediately if you have received this message in error. Thank you.",2017-01-04 18:04:00.000000 UTC,chat,False,"Thanks so much!  Is there a way to have all travel approvals done by the users’ managers?
After discussing some of the issues with my manager, we agree that I should not be approving travel for anyone and those approvals should be sent to the managers.
Feel free to call me to discuss if you need to!
DISCLAIMER: The information in this message is ""emids Technologies"" confidential and may be legally privileged. It is intended solely for the addressee. Access to this message by anyone else is unauthorized. If you are not the intended recipient, any disclosure, copying, or distribution of the message, or any action or omission taken by you in reliance on it, is prohibited and may be unlawful. Please contact immediately if you have received this message in error. Thank you."
"Serco Business



Hi Hayley,



As previously advised I don’t look after the UK region.

Please do not associate me with this ticket, I did not raise it nor did a person in the asia pacific region.



Regards

Bennett



Bennett Jordan 
Category Manager Travel & Events – Asia Pacific
M: +61  429 618 984",2019-08-14 05:21:58.000000 UTC,chat,False,"As previously advised I don’t look after the UK region.
Please do not associate me with this ticket, I did not raise it nor did a person in the asia pacific region."
"Hi Nicola



I emailed but our internal security wont allow me to email pictures to outside addresses other than Concur.



Thanks



Lorne



Lorne Hamilton



t



m",2019-11-05 17:26:27.000000 UTC,chat,False,I emailed but our internal security wont allow me to email pictures to outside addresses other than Concur.
"Thank you for your email. 
Am having trouble with my new loan offer. Please, help me reset it. 
Best regards.",2022-01-24 11:04:20.000000 UTC,ticket,False,"Thank you for your email. 
Am having trouble with my new loan offer. Please, help me reset it. "
"Hi Shelley,




Thank you for contacting Pura Customer Care! My name is Chloe and I will be helping you out today!




I read over the email you sent in, thank you for reaching out regarding your schedules. Have you been added to our beta feature for the schedules?




Chloe 

Pura Customer Care",2022-06-29 15:05:05.401000 UTC,chat,False,"Thank you for contacting Pura Customer Care! My name is Chloe and I will be helping you out today!
I read over the email you sent in, thank you for reaching out regarding your schedules. Have you been added to our beta feature for the schedules?"
What key improvement could we make to earn a higher score next time?,2022-05-01 17:56:34.000000 UTC,chat,False,What key improvement could we make to earn a higher score next time?
"I have synced Canvas to Synergy to make grading easier, however, half the time assignments do not sync properly and I have to frequently manually sync. I also do not like that if you import an old assignment with a date on it, it automatically gives students zeros.",2022-05-01 17:56:34.000000 UTC,chat,False,"I have synced Canvas to Synergy to make grading easier, however, half the time assignments do not sync properly and I have to frequently manually sync. I also do not like that if you import an old assignment with a date on it, it automatically gives students zeros."
"Hi Sydney 

That’s really great & would love to try to some other scents but I don’t have a diffuser to use them with just yet.",2022-05-27 12:23:51.046000 UTC,chat,False,That’s really great & would love to try to some other scents but I don’t have a diffuser to use them with just yet.
"Thank you for your email. I take vacation during 27-30 Dec 2021 and will resume to work on 4 Jan 2022. If you have any urgent matters, please feel free to call my mobile phone.",2022-01-01 07:28:31.000000 UTC,chat,True,"Thank you for your email. I take vacation during 27-30 Dec 2021 and will resume to work on 4 Jan 2022. If you have any urgent matters, please feel free to call my mobile phone."
"Karen,

I'm going to close

this case for now. If you have further questions or concerns, you&#39;ll have up to
7 days to update this case in Concur Support, which will automatically re-open
the case. I will receive your updates immediately via email. Lastly, you may
receive a &quot;Survey&quot; link once I close this case requesting details on
my performance. Please share your feedback with the Concur Customer Experience
team via the short 4 question survey.  These surveys have a large impact
on our performance ratings, and it would be much appreciated if you could take
a few moments of your time to complete it.



Thank you and have a great day!



Sherry



Sherry McGraw

Global Standard Service Administration

Email: | Time
Zone : Eastern

Direct : +1.952.983.4807



ref:00D607Dq3.5000e1XuOkS:ref",2019-04-08 14:27:05.000000 UTC,chat,True,"I'm going to close
this case for now. If you have further questions or concerns, you&#39;ll have up to
7 days to update this case in Concur Support, which will automatically re-open
the case. I will receive your updates immediately via email. Lastly, you may
receive a &quot;Survey&quot; link once I close this case requesting details on
my performance. Please share your feedback with the Concur Customer Experience
team via the short 4 question survey.  These surveys have a large impact
on our performance ratings, and it would be much appreciated if you could take
a few moments of your time to complete it.
Thank you and have a great day!
ref:00D607Dq3.5000e1XuOkS:ref"
"@media only screen and (max-device-width: 480px) { html { -webkit-text-size-adjust: 100%; / Prevent font scaling on mobile in landscape / } table.container { width: 100% !important; } .hidden-for-mobile { display: none !important; } .callToAction, .callToAction td, .footer { font-size: 11px !important; } .button .text { font-size: 11px !important; } .defaultIndentation { width: 10 !important; } .text { font-size: 11px !important; } a.button { width: 88 !important; height: 23 !important; line-height: 23px !important; border-radius: 3px !important; -webkit-border-radius: 3px !important; -moz-border-radius: 3px !important; } td.buttonWrapper { width: 90 !important; height: 23 !important; } img { display: inline !important; } } @media only screen and (min-device-width: 600px) { table.container { width: 600px !important; } } a, a:visited { color: #015BA7; } img { display: block; } .preheader { display: none !important; } Hi @Field Services Will you please place this in my name? Thank you! 

[if (gte mso 9)|(IE)]> <table style=""border-collapse: collapse; mso-table-lspace: 0px; mso-table-rspace: 0px; padding-left: 0; padding-right: 0; padding-top: 0; padding-bottom: 0; margin-left: 0; margin-right: 0; margin-top: 0; margin-bottom: 0; background-color: #F5F5F5;"" width=""600px"" cellpadding=""0"" cellspacing=""0"" border=""0"" align=""center"" bgcolor=""#F5F5F5""> <tbody> <tr> <td> <![endif] 

Start Body 



— 



Hi Will you please place this in my name? Thank you!





[if mso]> <v:roundrect xmlns:v=""urn:schemas-microsoft-com:vml"" xmlns:w=""urn:schemas-microsoft-com:office:word"" style=""height:28px v-text-anchor: middle; width:114px;"" strokecolor=""#6C8049"" arcsize=""7%"" fill=""t""> <v:fill angle=""180"" type=""gradient"" color=""#9DCC3D"" color2=""#8DB728""/> <w:anchorlock/> <center style=""color: #FFFFFF; font-family: Arial, 'Helvetica Neue', Helvetica, sans-serif;; font-size:13px;font-weight:normal;""><a href=""https://na26.salesforce.com/0D53200002kSvSp?fromEmail=1&s1oid=00D600000007Dq3&s1nid=000000000000000&s1uid=005600000011LqS&s1ext=0&emkind=chatterPostNotification&emtm=1432936746956&OpenCommentForEdit=1"" style=""text-decoration: none; color: #FFFFFF;"" target=""_blank""><span style=""white-space: nowrap;"">View/Comment</span></a></center> </v:roundrect> <![endif] 
or reply to this email













End Body Start Footer 



You're receiving emails when someone ""Mentions me in a post.""



To change or turn off Chatter email, as content.revenueoperations@concur.com.



salesforce.com, inc. The Landmark @ One Market, Suite 300 San Francisco, CA 94105













End Footer 


[if (gte mso 9)|(IE)]> </td> </tr> </tbody> </table> <![endif]",2015-05-29 21:59:15.000000 UTC,chat,False,"@media only screen and (max-device-width: 480px) { html { -webkit-text-size-adjust: 100%; / Prevent font scaling on mobile in landscape / } table.container { width: 100% !important; } .hidden-for-mobile { display: none !important; } .callToAction, .callToAction td, .footer { font-size: 11px !important; } .button .text { font-size: 11px !important; } .defaultIndentation { width: 10 !important; } .text { font-size: 11px !important; } a.button { width: 88 !important; height: 23 !important; line-height: 23px !important; border-radius: 3px !important; -webkit-border-radius: 3px !important; -moz-border-radius: 3px !important; } td.buttonWrapper { width: 90 !important; height: 23 !important; } img { display: inline !important; } } @media only screen and (min-device-width: 600px) { table.container { width: 600px !important; } } a, a:visited { color: #015BA7; } img { display: block; } .preheader { display: none !important; } Hi @Field Services Will you please place this in my name? Thank you! 
[if (gte mso 9)|(IE)]> <table style=""border-collapse: collapse; mso-table-lspace: 0px; mso-table-rspace: 0px; padding-left: 0; padding-right: 0; padding-top: 0; padding-bottom: 0; margin-left: 0; margin-right: 0; margin-top: 0; margin-bottom: 0; background-color: #F5F5F5;"" width=""600px"" cellpadding=""0"" cellspacing=""0"" border=""0"" align=""center"" bgcolor=""#F5F5F5""> <tbody> <tr> <td> <![endif] 
Start Body 
Hi Will you please place this in my name? Thank you!
[if mso]> <v:roundrect xmlns:v=""urn:schemas-microsoft-com:vml"" xmlns:w=""urn:schemas-microsoft-com:office:word"" style=""height:28px v-text-anchor: middle; width:114px;"" strokecolor=""#6C8049"" arcsize=""7%"" fill=""t""> <v:fill angle=""180"" type=""gradient"" color=""#9DCC3D"" color2=""#8DB728""/> <w:anchorlock/> <center style=""color: #FFFFFF; font-family: Arial, 'Helvetica Neue', Helvetica, sans-serif;; font-size:13px;font-weight:normal;""><a href=""https://na26.salesforce.com/0D53200002kSvSp?fromEmail=1&s1oid=00D600000007Dq3&s1nid=000000000000000&s1uid=005600000011LqS&s1ext=0&emkind=chatterPostNotification&emtm=1432936746956&OpenCommentForEdit=1"" style=""text-decoration: none; color: #FFFFFF;"" target=""_blank""><span style=""white-space: nowrap;"">View/Comment</span></a></center> </v:roundrect> <![endif] 
or reply to this email
End Body Start Footer 
You're receiving emails when someone ""Mentions me in a post.""
To change or turn off Chatter email, as content.revenueoperations@concur.com.
[if (gte mso 9)|(IE)]> </td> </tr> </tbody> </table> <![endif]"
"I will be returning to the office on 3/22/21

Mary Chalifoux Conley BSN,CCM

Integrated Care Management Program

ICMP CHF RN Case Manager

Cell # 617=416-9059 Office 617-525-8852

The information in this e-mail is intended only for the person to whom it is addressed. If you believe this e-mail was sent to you in error and the e-mail contains patient information, please contact the Mass General Brigham Compliance HelpLine at .

Please note that this e-mail is not secure (encrypted). If you do not wish to continue communication over unencrypted e-mail, please notify the sender of this message immediately. Continuing to send or respond to e-mail after receiving this message means you understand and accept this risk and wish to continue to communicate over unencrypted e-mail.",2022-03-20 16:15:21.000000 UTC,chat,True,"I will be returning to the office on 3/22/21
The information in this e-mail is intended only for the person to whom it is addressed. If you believe this e-mail was sent to you in error and the e-mail contains patient information, please contact the Mass General Brigham Compliance HelpLine at .
Please note that this e-mail is not secure (encrypted). If you do not wish to continue communication over unencrypted e-mail, please notify the sender of this message immediately. Continuing to send or respond to e-mail after receiving this message means you understand and accept this risk and wish to continue to communicate over unencrypted e-mail."
"Guten Tag,



ich habe bei Concur eine Netto-Abrechnung eingestellt, bei der ich für eine Gruppe von GRT-Mitarbeitern, welche sich auf einer Messe befanden, Wasser und Snacks gekauft habe. Allerdings wurden auf der Rechnung 2 verschiedene Mehrwertsteuern angegeben. Die Abrechnung mit 19% Mwst. hat nicht funktioniert und die Abrechnung mit 7% Mwst. auch nicht!

Wie ist da der korrekte Vorgang? Können Sie mir weiterhelfen.



Des Weiteren ist bei einer anderen Abrechnung die Fehlermeldung „Buchung fehlgeschlagen. Detaillierte Fehlermeldungen finden Sie im Prüfpfad.“ Wieso? Verstehe die Systemmeldungen nicht! Und vor allem nicht, wie ich das beheben kann.



Über eine schnelle Antwort freue ich mich!



Mit freundlichen Grüßen,



Alexander Wirtz

Scientific Tutor

GHR - CH - Apprenticeship 



Phone: +49 241 569 3604



Klick mich!

Klick mich!



Grünenthal Pharma GmbH & Co. KG

52099 Aachen, Germany




Grünenthal

Think Innovation. 
Feel Life. ®













Vorsitzender des Aufsichtsrates: Dr. Wilhelm Moll LL.M.
Geschäftsführer: Gabriel Baertschi (Vorsitzender), Mark Fladrich, Fabian Raschke
Sitz der Gesellschaft: Aachen.

Registergericht: Amtsgericht Aachen, HRB Nr. 3546, Ust.-ID (VAT): DE 121737755 St.-Nr. 201/5937/2986
Lieferanschrift: Zieglerstraße 6, 52078 Aachen,

Tel.: +49 241 569-0, Fax: +49 241 569-1502

Korrespondenz: Grünenthal GmbH, 52099 Aachen, Deutschland


..",2019-11-20 08:01:02.000000 UTC,chat,False,"ich habe bei Concur eine Netto-Abrechnung eingestellt, bei der ich für eine Gruppe von GRT-Mitarbeitern, welche sich auf einer Messe befanden, Wasser und Snacks gekauft habe. Allerdings wurden auf der Rechnung 2 verschiedene Mehrwertsteuern angegeben. Die Abrechnung mit 19% Mwst. hat nicht funktioniert und die Abrechnung mit 7% Mwst. auch nicht!
Des Weiteren ist bei einer anderen Abrechnung die Fehlermeldung „Buchung fehlgeschlagen. Detaillierte Fehlermeldungen finden Sie im Prüfpfad.“ Wieso? Verstehe die Systemmeldungen nicht! Und vor allem nicht, wie ich das beheben kann.
Think Innovation. 
Feel Life. ®"
