index,cleansed_text,created_at,class,is_unuseful
91,"I will be out of the office on vacation Tuesday, July 16th through Thursday, July 25th.


If you need immediate assistance please contact:

.

Thank you,

Karen Plata
IT Solutions Specialist
Azumano Corporate Travel
320 SW Stark Street, 6th floor
Portland, OR 97209
503-721-8737",2013-07-20 04:36:32.000000 UTC,chat,TRUE
175,"Okay, super. Let us know when we can help. ??????",2021-05-11 23:02:56.000000 UTC,chat,TRUE
221,"Hey, I'm sure you're busy but I just wanted to see if you were still with me? If so, just let me know if I can help.",2022-02-09 00:31:43.000000 UTC,chat,TRUE
176,You bet. Please let me know if there's more I can provide. ??????,2021-05-10 20:57:14.000000 UTC,chat,TRUE
322,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">




</head>

    


Thank you for your email to the online support desk. Emails received Monday to Friday between 800am and 800pm eastern time will be answered within 6 hours. Please note that the online support desk is closed Saturday,

 Sunday and statutory holidays. </font></p>
Merci d'avoir envoy?? votre courriel au service d'assistance en ligne. Nous r??pondrons dans un d??lai de 6 heures aux courriels re??us du lundi au vendredi, entre 8h00 du matin et 8h00 du soir. Veuillez

prendre note que le service d'assistance est ferm?? le samedi, dimanche et les jours f??ri??s .



</span></div>










	This email and any attachment(s) may contain information which is confidential and/or privileged. If you are not the intended recipient please notify the sender immediately, delete it from your system and do not use or disclose its contents. Any confidentiality or privilege that attaches to this email is not waived or lost if you have received this email in error.  </p>


	HRG North America is the registered trade name of Hogg Robinson Canada Inc. and Hogg Robinson USA LLC. </p>









	Ce courriel ainsi que toute pi&egrave;ce jointe peut contenir de l'information confidentielle et/ou privil&eacute;gi&eacute;e. Si vous n'&ecirc;tes pas le destinataire pr&eacute;vu, veuillez en informer l?€?envoyeur imm&eacute;diatement et supprimez-le de votre syst&egrave;me sans utiliser ni divulguer son contenu. Tout &eacute;l&eacute;ment confidentiel ou privil&egrave;ge rattach&eacute;s &agrave; ce courriel ne sont ni c&eacute;d&eacute;s, ni perdus si vous avez re&ccedil;u ce courriel par erreur.  </p>


	HRG Am&eacute;rique du Nord est le nom commercial d&eacute;pos&eacute; de Hogg Robinson Canada Inc. et de Hogg Robinson USA LLC. </p>
    
</body>
</html>",2013-07-17 12:26:14.000000 UTC,chat,TRUE
386,"Hi Weng,

My case is now resolved.

Thanks,
Jamie",2019-09-25 08:04:37.000000 UTC,chat,TRUE
98,"Dear Madame and Sirs,

I'm not in the office today I will be back on the 2nd of November. Your email will not be forwarded.

Mit freundlichen Gr????en/ Best regards
Daniele Mini
Senior Service Manager Human Capital Management
Group IT

Vorwerk Services GmbH
Am Clef 60 - 62 / D-42275 Wuppertal / Germany
Tel.: +49 202 564 6143
Mobile:+49 173 406 7844

e-Mail: Daniele.Mini@vorwerk.de




Gesellschaft mit beschr??nkter Haftung, Wuppertal

Amtsgericht Wuppertal HR B 21 700

Gesch??ftsf??hrer: Alessandro Axel Scarponi, Dr. Oliver Marschollek",2021-11-01 13:06:53.000000 UTC,chat,TRUE
477,"+ NEW EMS Sleeping Bags

?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€? ?€?

| Can't see images? 

Address

Eastern Mountain Sports
160 Corporate Court Meriden, CT, 06450

Customer Service

203 379 2233 | 



| | | |

?? 2022 EASTERN MOUNTAIN SPORTS, INC. ALL RIGHTS RESERVED.

This email is an advertisement.",2022-01-07 11:15:04.000000 UTC,chat,TRUE
105,"Hi there! Chris here, happy to help. ??????",2021-10-15 13:16:19.000000 UTC,chat,TRUE
94,"Hi Tina,  I just wanted to pop back in to make sure you received my last message to you and that it was helpful and thorough! Are there any questions I can answer for you? It is super important to me that you are well taken care of because your happiness is my #1 priority! Please let me know if there&rsquo;s anything else I can do to help you today!  Happy Chatbooking, Christine",2022-06-30 17:59:39.353000 UTC,ticket,TRUE
