fix.acid,vol.acid,citric,sugar,chlorides,free.sd,total.sd,density,pH,sulphates,alcohol,label
6.9,0.19,0.32,7.9,0.042,30,130,2,3.4,0.39,10.5,GOOD
7.6,0.2,0.3,14.2,0.056,53,212.5,2,3.14,0.46,8.9,GOOD
10.4,0.38,0.46,2.1,0.104,6,10,2,3.12,0.65,11.8,GOOD
6.8,0.35,0.32,2.4,0.048,35,103,2,3.28,0.46,12,GOOD
11.4,0.625,0.66,6.2,0.088,6,24,2,3.11,0.99,13.3,GOOD
6.5,0.29,0.25,2.5,0.142,8,111,2,3,0.44,9.9,BAD
6.1,0.26,0.51,2.2,0.05,61,154,2,3.08,0.6,9.8,GOOD
9.5,0.885,0.27,2.3,0.084,31,145,2,3.24,0.53,9.4,BAD
7.6,0.16,0.44,1.4,0.043,25,109,2,3.11,0.75,10.3,GOOD
6.7,0.42,0.39,12.1,0.04,61,248,2,3.31,0.58,9.7,BAD
7.1,0.36,0.24,1.8,0.025,32,102,2,3.34,0.59,12.8,GOOD
7,0.62,0.1,1.4,0.071,27,63,2,3.28,0.61,9.2,BAD
7,0.25,0.29,15.2,0.047,40,171,2,3.22,0.45,9.3,BAD
6.4,0.16,0.44,1.2,0.051,39,122,2,3.11,0.75,11.3,GOOD
7.3,0.67,0.05,3.6,0.107,6,20,2,3.4,0.63,10.1,BAD
8.4,0.58,0.27,12.15,0.033,37,116,2,2.99,0.39,10.8,GOOD
5.8,0.22,0.3,1.1,0.047,36,131,2,3.26,0.45,10.4,BAD
6.4,0.18,0.74,11.9,0.046,54,168,2,3.58,0.68,10.1,BAD
8.4,0.39,0.1,1.7,0.075,6,25,2,3.09,0.43,9.7,GOOD
7.3,0.32,0.25,7.2,0.056,47,180,2,3.08,0.47,8.8,BAD
7.6,0.715,0,2.1,0.068,30,35,2,3.48,0.65,11.4,GOOD
7.7,0.64,0.21,2.2,0.077,32,133,2,3.27,0.45,9.9,BAD
9.1,0.21,0.37,1.6,0.067,6,10,2,3.23,0.58,11.1,GOOD
6.8,0.15,0.32,8.8,0.058,24,110,2,3.4,0.4,8.8,GOOD
6.2,0.29,0.26,13.1,0.046,55,204,2,3.16,0.41,9.6,GOOD
7,0.35,0.17,1.1,0.049,7,119,2,3.13,0.36,9.7,GOOD
7.9,0.18,0.4,2.2,0.049,38,67,2,3.33,0.93,11.3,BAD
7.1,0.21,0.33,1.2,0.039,34,97,2,3.11,0.75,11.2,GOOD
7.4,0.61,0.01,2,0.074,13,38,2,3.48,0.65,9.8,BAD
6.9,0.17,0.22,4.6,0.064,55,152,2,3.29,0.37,9.3,GOOD
6.6,0.19,0.43,10.9,0.045,53,154,2,3.52,0.77,10.4,GOOD
7.5,0.705,0.24,1.8,0.36,15,63,2,3,1.59,9.5,BAD
10.1,0.935,0.22,3.4,0.105,11,86,3,3.43,0.64,11.3,BAD
